ISO3,Region
ABW,Latin America & Caribbean
AFG,South Asia
AGO,Sub-Saharan Africa
AIA,Latin America & Caribbean
ALB,Europe (incl. Russia)
AND,Europe (incl. Russia)
ARE,Middle East & North Africa
ARG,Latin America & Caribbean
ARM,Central Asia
ASM,Oceania & Australasia
ATG,Latin America & Caribbean
AUS,Oceania & Australasia
AUT,Europe (incl. Russia)
AZE,Central Asia
BDI,Sub-Saharan Africa
BEL,Europe (incl. Russia)
BEN,Sub-Saharan Africa
BES,Latin America & Caribbean
BFA,Sub-Saharan Africa
BGD,South Asia
BGR,Europe (incl. Russia)
BHR,Middle East & North Africa
BHS,Latin America & Caribbean
BIH,Europe (incl. Russia)
BLM,Latin America & Caribbean
BLR,Europe (incl. Russia)
BLZ,Latin America & Caribbean
BMU,North America
BOL,Latin America & Caribbean
BRA,Latin America & Caribbean
BRB,Latin America & Caribbean
BRN,Southeast Asia
BTN,South Asia
BWA,Sub-Saharan Africa
CAF,Sub-Saharan Africa
CAN,North America
CHE,Europe (incl. Russia)
CHL,Latin America & Caribbean
CHN,Northeast Asia
CIV,Sub-Saharan Africa
CMR,Sub-Saharan Africa
COD,Sub-Saharan Africa
COG,Sub-Saharan Africa
COK,Oceania & Australasia
COL,Latin America & Caribbean
COM,Sub-Saharan Africa
CPV,Sub-Saharan Africa
CRI,Latin America & Caribbean
CUB,Latin America & Caribbean
CUW,Latin America & Caribbean
CYM,Latin America & Caribbean
CYP,Europe (incl. Russia)
CZE,Europe (incl. Russia)
DEU,Europe (incl. Russia)
DJI,Sub-Saharan Africa
DMA,Latin America & Caribbean
DNK,Europe (incl. Russia)
DOM,Latin America & Caribbean
DZA,Middle East & North Africa
ECU,Latin America & Caribbean
EGY,Middle East & North Africa
ERI,Sub-Saharan Africa
ESH,Middle East & North Africa
ESP,Europe (incl. Russia)
EST,Europe (incl. Russia)
ETH,Sub-Saharan Africa
FIN,Europe (incl. Russia)
FJI,Oceania & Australasia
FLK,Latin America & Caribbean
FRA,Europe (incl. Russia)
FRO,Europe (incl. Russia)
FSM,Oceania & Australasia
GAB,Sub-Saharan Africa
GBR,Europe (incl. Russia)
GEO,Central Asia
GGY,Europe (incl. Russia)
GHA,Sub-Saharan Africa
GIB,Europe (incl. Russia)
GIN,Sub-Saharan Africa
GLP,Latin America & Caribbean
GMB,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GNQ,Sub-Saharan Africa
GRC,Europe (incl. Russia)
GRD,Latin America & Caribbean
GRL,North America
GTM,Latin America & Caribbean
GUF,Latin America & Caribbean
GUM,Oceania & Australasia
GUY,Latin America & Caribbean
HKG,Northeast Asia
HND,Latin America & Caribbean
HRV,Europe (incl. Russia)
HTI,Latin America & Caribbean
HUN,Europe (incl. Russia)
IDN,Southeast Asia
IMN,Europe (incl. Russia)
IND,South Asia
IRL,Europe (incl. Russia)
IRN,Middle East & North Africa
IRQ,Middle East & North Africa
ISL,Europe (incl. Russia)
ISR,Middle East & North Africa
ITA,Europe (incl. Russia)
JAM,Latin America & Caribbean
JEY,Europe (incl. Russia)
JOR,Middle East & North Africa
JPN,Northeast Asia
KAZ,Central Asia
KEN,Sub-Saharan Africa
KGZ,Central Asia
KHM,Southeast Asia
KIR,Oceania & Australasia
KNA,Latin America & Caribbean
KOR,Northeast Asia
KWT,Middle East & North Africa
LAO,Southeast Asia
LBN,Middle East & North Africa
LBR,Sub-Saharan Africa
LBY,Middle East & North Africa
LCA,Latin America & Caribbean
LIE,Europe (incl. Russia)
LKA,South Asia
LSO,Sub-Saharan Africa
LTU,Europe (incl. Russia)
LUX,Europe (incl. Russia)
LVA,Europe (incl. Russia)
MAC,Northeast Asia
MAF,Latin America & Caribbean
MAR,Middle East & North Africa
MCO,Europe (incl. Russia)
MDA,Europe (incl. Russia)
MDG,Sub-Saharan Africa
MDV,South Asia
MEX,Latin America & Caribbean
MHL,Oceania & Australasia
MKD,Europe (incl. Russia)
MLI,Sub-Saharan Africa
MLT,Europe (incl. Russia)
MMR,Southeast Asia
MNE,Europe (incl. Russia)
MNG,Northeast Asia
MNP,Oceania & Australasia
MOZ,Sub-Saharan Africa
MRT,Middle East & North Africa
MSR,Latin America & Caribbean
MTQ,Latin America & Caribbean
MUS,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,Southeast Asia
MYT,Sub-Saharan Africa
NAM,Sub-Saharan Africa
NCL,Oceania & Australasia
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
NIC,Latin America & Caribbean
NIU,Oceania & Australasia
NLD,Europe (incl. Russia)
NOR,Europe (incl. Russia)
NPL,South Asia
NRU,Oceania & Australasia
NZL,Oceania & Australasia
OMN,Middle East & North Africa
PAK,South Asia
PAN,Latin America & Caribbean
PER,Latin America & Caribbean
PHL,Southeast Asia
PLW,Oceania & Australasia
PNG,Oceania & Australasia
POL,Europe (incl. Russia)
PRI,Latin America & Caribbean
PRK,Northeast Asia
PRT,Europe (incl. Russia)
PRY,Latin America & Caribbean
PSE,Middle East & North Africa
PYF,Oceania & Australasia
QAT,Middle East & North Africa
REU,Sub-Saharan Africa
ROU,Europe (incl. Russia)
RUS,Europe (incl. Russia)
RWA,Sub-Saharan Africa
SAU,Middle East & North Africa
SDN,Middle East & North Africa
SEN,Sub-Saharan Africa
SGP,Southeast Asia
SHN,Sub-Saharan Africa
SLB,Oceania & Australasia
SLE,Sub-Saharan Africa
SLV,Latin America & Caribbean
SMR,Europe (incl. Russia)
SOM,Sub-Saharan Africa
SPM,North America
SRB,Europe (incl. Russia)
SSD,Sub-Saharan Africa
STP,Sub-Saharan Africa
SUR,Latin America & Caribbean
SVK,Europe (incl. Russia)
SVN,Europe (incl. Russia)
SWE,Europe (incl. Russia)
SWZ,Sub-Saharan Africa
SXM,Latin America & Caribbean
SYC,Sub-Saharan Africa
SYR,Middle East & North Africa
TCA,Latin America & Caribbean
TCD,Sub-Saharan Africa
TGO,Sub-Saharan Africa
THA,Southeast Asia
TJK,Central Asia
TKL,Oceania & Australasia
TKM,Central Asia
TLS,Southeast Asia
TON,Oceania & Australasia
TTO,Latin America & Caribbean
TUN,Middle East & North Africa
TUR,Middle East & North Africa
TUV,Oceania & Australasia
TWN,Northeast Asia
TZA,Sub-Saharan Africa
UGA,Sub-Saharan Africa
UKR,Europe (incl. Russia)
URY,Latin America & Caribbean
USA,North America
UZB,Central Asia
VAT,Europe (incl. Russia)
VCT,Latin America & Caribbean
VEN,Latin America & Caribbean
VGB,Latin America & Caribbean
VIR,Latin America & Caribbean
VNM,Southeast Asia
VUT,Oceania & Australasia
WLF,Oceania & Australasia
WSM,Oceania & Australasia
XKX,Europe (incl. Russia)
YEM,Middle East & North Africa
ZAF,Sub-Saharan Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
